N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.857032,1.767674,1.146005,1.763108,1.377285,1.318763,2.142050,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.860538,1.767000,1.158965,1.771839,1.340657,1.331511,2.135440,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.850546,1.779751,1.143622,1.757224,1.367664,1.326822,2.088807,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.775470,1.831214,1.161601,1.750075,1.382526,1.280080,1.987101,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.795137,1.866456,1.147167,1.746295,1.344972,1.272565,1.967753,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.805075,1.882387,1.159727,1.749235,1.375551,1.271437,1.967948,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.826871,1.826533,1.143492,1.735565,1.326422,1.265911,2.046786,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.878139,1.813320,1.128312,1.749412,1.241061,1.255183,2.069087,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.833368,1.834718,1.143521,1.783315,1.240963,1.238056,2.026093,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.678772,1.898713,1.225460,1.793585,1.227333,1.226135,1.912281,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.718829,1.744046,1.123891,1.790206,1.256171,1.296064,2.042211,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.747856,1.723209,1.203923,1.830908,1.377607,1.309516,2.068888,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.749821,1.733069,1.244018,1.839948,1.353793,1.304290,1.984866,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.754659,1.768800,1.253021,1.803885,1.310020,1.298292,1.974637,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.770520,1.771547,1.244414,1.772021,1.266726,1.295468,1.976899,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.776068,1.777586,1.247936,1.783814,1.278416,1.286757,1.978107,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.781227,1.773046,1.246642,1.820630,1.352737,1.297625,1.980708,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.761439,1.785890,1.253160,1.775302,1.213796,1.314411,2.003167,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.777352,1.784256,1.141695,1.720073,1.224552,1.309402,2.118099,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.761235,1.783809,1.223331,1.717982,1.238922,1.285303,1.983578,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.823023,1.857087,1.138846,1.707493,1.302819,1.251768,2.041437,128
